 0.98, 10 
 0.98 , 20 
 0.96 , 30 
 0.96 , 40 
 0.96 , 50 
 0.94 , 60 
 0.92 , 70 
 0.90 , 80 
 0.88 , 90 
 0.88 , 100  
 0.84 , 125  
 0.8 , 150  
 0.72 , 175  
 0.7 , 200  
 0.52 , 300  
 0.44 , 400  
 0.36 , 500  
 0.24 , 750  
 0.19, 1000 
 0.04, 5000 
 0.02, 10000 
